Registration_number,Flag,Latitude,Longitude,Altitude,Direction,Speed,Flight_number,Flight_icao,Flight_iata,Departure_icao,Departure_iata,Arrival_icao,Arrival_iata,Airline_icao,Airline_iata,Aircraft_icao,Updated,Status
9H-QDR,IE,49.906467,1.730866,11582,318,757,600N,RYR600N,FR4188,LIME,BGY,EGSS,STN,RYR,FR,B738,1688586761,en-route
9H-QBV,IE,45.356003,4.019884,10668,243,692,82WZ,RYR82WZ,FR3394,LIME,BGY,LEXJ,SDR,RYR,FR,B738,1688586758,en-route
9H-QDL,IE,43.188839,5.297895,1615,29,444,81VG,RYR81VG,FR2077,LPPT,LIS,LFML,MRS,RYR,FR,B738,1688586758,en-route
9H-QCZ,IE,44.80957,12.502441,4465,334,668,10HC,RYR10HC,FR3624,LICA,SUF,LIPZ,VCE,RYR,FR,B738,1688586759,en-route
9H-QBG,IE,35.416618,29.111315,10980,302,825,6757,RYR6757,FR6757,LCPH,PFO,LFML,MRS,RYR,FR,B738,1688586758,en-route
9H-QBA,IE,34.759323,-10.03758,10972,36,927,9NV,RYR9NV,FR686,GCLP,LPA,LOWW,VIE,RYR,FR,B738,1688586757,en-route
9H-QEC,IE,39.73439,11.651538,10363,343,770,41EG,RYR41EG,FR5903,LICT,TPS,LIMF,TRN,RYR,FR,B738,1688586756,en-route
9H-QDQ,IE,47.433792,19.244888,137,313,187,40ZG,RYR40ZG,FR197,LHBP,BUD,EDDB,BER,RYR,FR,B738,1688586759,en-route
9H-QBC,IE,51.006123,9.874725,11887,64,911,40BF,RYR40BF,FR2501,GCLP,LPA,EDDB,BER,RYR,FR,B738,1688586761,en-route
9H-QBF,IE,42.644211,14.239655,1402,157,444,4YB,RYR4YB,FR5016,EBCI,CRL,LIBP,PSR,RYR,FR,B738,1688586756,en-route
9H-TJD,TR,39.029755,21.011232,10972,309,822,1J,CXI1J,XR7698,LGIR,HER,EBBR,BRU,CAI,XR,B738,1688586759,en-route
9H-QCE,IE,45.877232,9.215469,5288,120,637,688G,RYR688G,FR5532,EDDK,CGN,LIME,BGY,RYR,FR,B738,1688586759,en-route
9H-QDP,IE,41.114937,17.11289,1714,29,475,70BB,RYR70BB,FR8152,LFML,MRS,LIBD,BRI,RYR,FR,B738,1688586750,en-route
9H-QBK,IE,44.676277,12.764372,8153,166,816,45PK,RYR45PK,FR836,LIPZ,VCE,LICJ,PMO,RYR,FR,B738,1688586761,en-route
9H-QDK,IE,44.210987,11.205117,5036,169,688,6CY,RYR6CY,FR4341,LIPE,BLQ,LICJ,PMO,RYR,FR,B738,1688586760,en-route
9H-QCM,IE,41.950836,12.00325,1584,63,511,5JC,RYR5JC,FR4892,LICC,CTA,LIRF,FCO,RYR,FR,B738,1688586761,en-route
9H-CXA,TR,41.449787,-5.997769,11582,26,931,9NC,CXI9NC,XR2234,GCLP,LPA,EDDN,NUE,CAI,XR,B738,1688586761,en-route
9H-CXB,TR,47.677872,19.040152,11582,279,831,9HD,CAI9HD,XC3407,LTAI,AYT,EDDL,DUS,CAI,XC,B738,1688586760,en-route
9H-NED,MT,36.105606,14.200516,4808,321,588,9440,AMC9440,KM9440,LMML,MLA,LEDA,ILD,AMC,KM,A20N,1688586759,en-route
9H-LMG,MT,46.329483,13.721857,10050,150,840,6TP,RYR6TP,FR3575,EGNM,LBA,LDZD,ZAD,LDA,FR,A320,1688586760,en-route
9H-LMH,MT,51.999733,7.579625,10980,200,813,39CD,RYR39CD,FR8464,EKAH,AAR,LEPA,PMI,LDA,FR,A320,1688586760,en-route
9H-LOU,MT,41.338432,5.938485,10561,226,746,9DE,RYR9DE,FR9700,LOWW,VIE,LEPA,PMI,LDA,FR,A320,1688586759,en-route
9H-LOZ,MT,41.302597,1.321533,10972,89,976,62UJ,RYR62UJ,FR728,LPFR,FAO,LOWW,VIE,LDA,FR,A320,1688586759,en-route
9H-LOI,MT,51.642288,4.469209,10965,283,742,34FG,RYR34FG,FR731,LOWW,VIE,EGSS,STN,LDA,FR,A320,1688586761,en-route
9H-LON,MT,51.353851,12.476534,8572,44,838,7EK,RYR7EK,FR263,LEPA,PMI,EDDB,BER,LDA,FR,A320,1688586759,en-route
9H-LOT,MT,45.965881,10.7455,8839,263,690,5DA,RYR5DA,FR214,LOWW,VIE,LIMC,MXP,LDA,FR,A320,1688586760,en-route
9H-LOW,MT,39.869934,3.152837,2506,151,490,80EE,RYR80EE,FR8664,EDDK,CGN,LEPA,PMI,LDA,FR,A320,1688586759,en-route
9H-LOB,MT,48.100983,6.6492,10675,196,766,3WT,RYR3WT,FR9169,EDDH,HAM,LEPA,PMI,LDA,FR,A320,1688586761,en-route
9H-IHD,MT,52.93478,0.874041,10668,102,909,86NL,RYR86NL,FR693,EGCC,MAN,LOWW,VIE,LDA,FR,A320,1688586760,en-route
9H-IHL,MT,42.973068,17.141289,9646,175,892,8JY,RYR8JY,FR9482,LOWW,VIE,LIBD,BRI,LDA,FR,A320,1688586718,en-route
