Registration_number,Flag,Latitude,Longitude,Altitude,Direction,Speed,Flight_number,Flight_icao,Flight_iata,Departure_icao,Departure_iata,Arrival_icao,Arrival_iata,Airline_icao,Airline_iata,Aircraft_icao,Updated,Status
XA-VSA,MX,23.943352,-105.621887,11582,352,838,626,VOI626,Y4626,MMGL,GDL,MMCS,CJS,VOI,Y4,A20N,1687905488,en-route
XA-OCC,MX,18.48757,-96.126228,10668,151,825,394,AMX394,AM394,MMMX,MEX,MMBT,HUX,AMX,AM,B738,1687905481,en-route
XA-OOO,MX,21.464539,-104.158936,10972,309,846,352,AMX352,AM352,MMMX,MEX,MMMZ,MZT,AMX,AM,B738,1687905384,en-route
XA-OCA,MX,20.64917,-103.226852,11582,298,846,366,AMX366,AM366,MMMX,MEX,MMLP,LAP,AMX,AM,B738,1687905478,en-route
XA-VSD,MX,23.968258,-108.577156,11894,135,874,802,VOI802,Y4802,MMTJ,TIJ,MMPN,UPN,VOI,Y4,A20N,1687905460,en-route
XA-MFM,MX,20.55393,-102.481865,11277,87,840,383,AMX383,AM383,MMSD,SJD,MMMX,MEX,AMX,AM,B38M,1687905488,en-route
XA-JSO,MX,26.564198,-104.26506,11262,142,835,145,AMX145,AM145,MMCU,CUU,MMMX,MEX,AMX,AM,B39M,1687905478,en-route
XA-VSJ,MX,19.077433,-100.794868,11277,115,814,326,VOI326,Y4326,MMGL,GDL,MMOX,OAX,VOI,Y4,A20N,1687905287,en-route
XA-VSM,MX,27.842743,-111.389397,10683,135,863,438,VOI438,Y4438,MMTJ,TIJ,MMCL,CUL,VOI,Y4,A21N,1687905486,en-route
XA-MKJ,MX,20.242081,-96.050079,11277,75,768,536,AMX536,AM536,MMMX,MEX,MMUN,CUN,AMX,AM,B39M,1687904387,en-route
XA-VSZ,MX,26.395025,-112.30674,11590,326,818,5451,VOI5451,Y45451,MMSD,SJD,MMTJ,TIJ,VOI,Y4,A20N,1687905417,en-route
XA-DAT,MX,21.467937,-90.559898,11277,74,801,590,AMX590,AM590,MMSM,NLU,MMUN,CUN,AMX,AM,B38M,1687905319,en-route
XA-VXC,MX,28.277271,-110.206497,10980,314,837,5065,VIV5065,VB5065,MMSM,NLU,MMTJ,TIJ,VIV,VB,A21N,1687905479,en-route
XA-VXF,MX,20.507309,-92.146255,10980,276,931,1021,VIV1021,VB1021,MMUN,CUN,MMMX,MEX,VIV,VB,A21N,1687905423,en-route
XA-VYE,MX,29.680309,-108.571312,11277,112,874,4085,VIV4085,VB4085,MMTJ,TIJ,MMMY,MTY,VIV,VB,A320,1687905485,en-route
XA-VSC,MX,24.949392,-110.151726,11033,133,885,450,VOI450,Y4450,MMTJ,TIJ,MMSD,SJD,VOI,Y4,A21N,1687905479,en-route
YV1243,VE,10.822906,-64.931664,5631,85,750,906,LER906,QL906,SVMI,CCS,SVMG,PMV,LER,QL,MD81,1687905485,en-route
YV2923,VE,11.392077,-67.31044,5006,171,653,2969,LER2969,QL2969,MDSD,SDQ,SVMI,CCS,LER,QL,MD82,1687905484,en-route
YV622T,VE,10.878467,-67.781548,4000,119,653,9103,VTU9103,T99103,MUHA,HAV,SVMI,CCS,VTU,T9,B734,1687905485,en-route
RA-73041,RU,56.640335,60.614834,10972,225,794,1405,UTA1405,UT1405,USRR,SGC,UWUU,UFA,UTA,UT,B735,1687905482,en-route
RA-73047,RU,42.647717,49.2206,11277,41,892,876,UTA876,UT876,UDYZ,EVN,USTR,TJM,UTA,UT,B735,1687905480,en-route
RA-73062,RU,59.245171,56.384392,10683,74,781,341,UTA341,UT341,UUWW,VKO,USNN,NJC,UTA,UT,B735,1687905304,en-route
RA-73072,RU,38.084805,34.720142,11277,67,472,904,AZV904,ZF904,HESH,SSH,UUWW,VKO,AZV,ZF,B752,1687904909,en-route
RA-73075,RU,39.82045,36.964039,10972,227,475,929,AZV929,ZF929,UWUU,UFA,HESH,SSH,AZV,ZF,B752,1687905484,en-route
RA-73076,RU,46.32106,47.426304,11277,303,781,2006,AZV2006,ZF2006,HEGN,HRG,UUWW,VKO,AZV,ZF,B752,1687904860,en-route
RA-73080,RU,53.352081,58.709133,11277,16,835,842,AZV842,ZF842,LTBS,DLM,USSS,SVX,AZV,ZF,B763,1687905481,en-route
RA-73084,RU,48.756546,44.369202,11269,346,470,400,UTA400,UT400,URMG,GRV,UUWW,VKO,UTA,UT,B738,1687904924,en-route
RA-73085,RU,61.644379,57.534813,11277,90,864,470,UTA470,UT470,ULLI,LED,USRR,SGC,UTA,UT,B738,1687905467,en-route
RA-73086,RU,43.680244,41.891785,11582,248,459,741,UTA741,UT741,URMG,GRV,LTAI,AYT,UTA,UT,B738,1687905486,en-route
RA-73087,RU,45.787079,48.763153,10972,164,844,785,UTA785,UT785,UUWW,VKO,UDYZ,EVN,UTA,UT,B738,1687905480,en-route
RA-73089,RU,48.557896,44.575073,11277,343,466,270,UTA270,UT270,URSS,AER,UUWW,VKO,UTA,UT,B738,1687905483,en-route
RA-73091,RU,55.144154,61.548904,11277,38,787,512,UTA512,UT512,URSS,AER,USRR,SGC,UTA,UT,B738,1687904240,en-route
RA-73092,RU,55.828236,78.322395,10363,280,864,9406,ERF9406,RF9406,UNAA,ABA,UUEE,SVO,ERF,RF,B752,1687905422,en-route
RA-73097,RU,36.881069,30.806963,0,92,18,797,AFL797,SU797,LTAI,AYT,UWWW,KUF,AFL,SU,B738,1687905481,en-route
RA-73112,RU,44.368847,47.459061,10668,65,948,2135,AFL2135,SU2135,LTFM,IST,UUEE,SVO,AFL,SU,B738,1687905480,en-route
RA-73116,RU,45.643818,48.819534,10363,164,842,2138,AFL2138,SU2138,UUEE,SVO,LTFM,IST,AFL,SU,B738,1687905480,en-route
RA-73120,RU,53.90414,57.159927,10668,103,874,1956,AFL1956,SU1956,UUEE,SVO,UACC,NQZ,AFL,SU,B738,1687905481,en-route
RA-73121,RU,53.368511,57.147972,10058,339,696,799,AFL799,SU799,LTAI,AYT,UWUU,UFA,AFL,SU,B738,1687905481,en-route
RA-73123,RU,40.717613,39.289604,10972,233,487,806,AFL806,SU806,UNNT,OVB,LTAI,AYT,AFL,SU,B738,1687905479,en-route
RA-73130,RU,32.727585,70.874672,10668,179,946,272,AFL272,SU272,UUEE,SVO,VTBS,BKK,AFL,SU,B77W,1687905477,en-route
